constituency_number,NAME OF CONSTITUENCY,province,voter_reg,candidate_party,candidate_name
NA-94,Chiniot-2,Punjab,817726,Pakistan Peoples Party,Syed Inayat Ali Shah
NA-94,Chiniot-2,Punjab,817726,Tehreek-e-Labbaik,Rehmat Ullah
NA-94,Chiniot-2,Punjab,817726,Pakistan Muslim League (Nawaz),Qaiser Ahmad Shiekh
NA-94,Chiniot-2,Punjab,817726,Awami National Party,Muhammad Kamal
NA-94,Chiniot-2,Punjab,817726,Pakistan Muslim League (Qaid-e-Azam),Arshad Ahmed Qamar
NA-95,Faisalabad-1,Punjab,898613,Pakistan Tehreek-e-Insaf,Sheikh Waqas Akram
NA-95,Faisalabad-1,Punjab,898613,Pakistan Peoples Party,Usman Nawaz
NA-95,Faisalabad-1,Punjab,898613,Tehreek-e-Labbaik,Ghulam Meeran Shah Gillani
NA-95,Faisalabad-1,Punjab,898613,Pakistan Muslim League (Nawaz),Azad Ali Tabassum
NA-95,Faisalabad-1,Punjab,898613,Pakistan Awami Tehreek,Khalil ur Rehman
NA-96,Faisalabad-2,Punjab,897367,Pakistan Tehreek-e-Insaf,Sahibzada Ameer Sultan
NA-96,Faisalabad-2,Punjab,897367,Pakistan Peoples Party,Muhammad Shahjahan Khan
NA-96,Faisalabad-2,Punjab,897367,Tehreek-e-Labbaik,Syed Asif Ullah Shah Bukhari
NA-96,Faisalabad-2,Punjab,897367,Pakistan Muslim League (Nawaz),Nawab Sher
NA-97,Faisalabad-3,Punjab,866762,Pakistan Tehreek-e-Insaf,Arshad Sahi
NA-97,Faisalabad-3,Punjab,866762,Pakistan Peoples Party,Muhammad Khan Nadeem
NA-97,Faisalabad-3,Punjab,866762,Tehreek-e-Labbaik,Hafiz Abid Hussain
NA-97,Faisalabad-3,Punjab,866762,Pakistan Muslim League (Nawaz),Ali Gohar Khan
NA-97,Faisalabad-3,Punjab,866762,Istehkam-e-Pakistan,Humayun Akhtar
NA-98,Faisalabad-4,Punjab,883290,Pakistan Tehreek-e-Insaf,Brig Ejaz Shah
NA-98,Faisalabad-4,Punjab,883290,Pakistan Peoples Party,Rana Muhammad Farooq Saeed Khan
NA-98,Faisalabad-4,Punjab,883290,Tehreek-e-Labbaik,Muhammad Jawad Saleem
NA-98,Faisalabad-4,Punjab,883290,Pakistan Muslim League (Nawaz),Ch Muhammad Shahbaz Babar
NA-98,Faisalabad-4,Punjab,883290,Pakistan Awami Tehreek,Muhammad Usman
NA-99,Faisalabad-5,Punjab,899991,Pakistan Tehreek-e-Insaf,Brig Rahat Amanullah Bhatti
NA-99,Faisalabad-5,Punjab,899991,Pakistan Peoples Party,Neha Javed
NA-99,Faisalabad-5,Punjab,899991,Tehreek-e-Labbaik,Imran Khan
NA-99,Faisalabad-5,Punjab,899991,Pakistan Muslim League (Nawaz),Muhammad Qasim Farooq
NA-100,Faisalabad-6,Punjab,902642,Pakistan Tehreek-e-Insaf,Arshad Mehmood Chaudhary
NA-100,Faisalabad-6,Punjab,902642,Pakistan Peoples Party,Sidra Saeed
NA-100,Faisalabad-6,Punjab,902642,Tehreek-e-Labbaik,Abrar Hussain
NA-100,Faisalabad-6,Punjab,902642,Pakistan Muslim League (Nawaz),Rana Sana Ullah Khan
NA-101,Faisalabad-7,Punjab,926000,Pakistan Tehreek-e-Insaf,Khurram Shahzad Virk
NA-101,Faisalabad-7,Punjab,926000,Tehreek-e-Labbaik,Muhammasd Asad Iqbal
NA-101,Faisalabad-7,Punjab,926000,Pakistan Muslim League (Nawaz),Irfan Ahmad
NA-102,Faisalabad-8,Punjab,937233,Pakistan Tehreek-e-Insaf,Khurram Munj
NA-102,Faisalabad-8,Punjab,937233,Pakistan Peoples Party,Naeem Dastgir Khan
NA-102,Faisalabad-8,Punjab,937233,Tehreek-e-Labbaik,Raja Saleem Abid
NA-102,Faisalabad-8,Punjab,937233,Pakistan Muslim League (Nawaz),Abid Sher Ali
NA-103,Faisalabad-9,Punjab,934827,Pakistan Tehreek-e-Insaf,Ali Ejaz Bhuttar
NA-103,Faisalabad-9,Punjab,934827,Pakistan Peoples Party,Rana Mubashar Hussain
NA-103,Faisalabad-9,Punjab,934827,Muttahida Qaumi Movement,Muhammad Amin
NA-103,Faisalabad-9,Punjab,934827,Tehreek-e-Labbaik,Muhammad Gulam Rasool
NA-103,Faisalabad-9,Punjab,934827,Pakistan Muslim League (Nawaz),Haji Muhammad Akram Ansari
NA-104,Faisalabad-10,Punjab,929094,Pakistan Tehreek-e-Insaf,Aliya Hamza
NA-104,Faisalabad-10,Punjab,929094,Pakistan Peoples Party,Basharat Ali / Faqir Muhammad
NA-104,Faisalabad-10,Punjab,929094,Tehreek-e-Labbaik,Hafiz Muhammad Abu Bakar
NA-104,Faisalabad-10,Punjab,929094,Pakistan Muslim League (Nawaz),Danyal Ahmed
NA-104,Faisalabad-10,Punjab,929094,Pakistan Awami Tehreek,Abid hussain
NA-105,T.T.Singh-1,Punjab,805599,Pakistan Tehreek-e-Insaf,Shahzad Farooq
NA-105,T.T.Singh-1,Punjab,805599,Pakistan Peoples Party,Sarshar Hassan Cheema
NA-105,T.T.Singh-1,Punjab,805599,Tehreek-e-Labbaik,Sarshar Hassan Cheema
NA-105,T.T.Singh-1,Punjab,805599,Pakistan Muslim League (Nawaz),Chaudhary Khalid Javed
NA-106,T.T.Singh-2,Punjab,827193,Pakistan Tehreek-e-Insaf,Usman Hamza Awan
NA-106,T.T.Singh-2,Punjab,827193,Pakistan Peoples Party,Muhammad Zulfiqar Ali
NA-106,T.T.Singh-2,Punjab,827193,Tehreek-e-Labbaik,Mohsin Raza
NA-106,T.T.Singh-2,Punjab,827193,Pakistan Muslim League (Nawaz),M. Junaid Anwar Chaudhary
NA-107,T.T.Singh-3,Punjab,879171,Pakistan Tehreek-e-Insaf,Wasim Qadir
NA-107,T.T.Singh-3,Punjab,879171,Pakistan Peoples Party,Amjad Yaqub
NA-107,T.T.Singh-3,Punjab,879171,Tehreek-e-Labbaik,Hafiz Farruk Saleem
NA-107,T.T.Singh-3,Punjab,879171,Pakistan Muslim League (Nawaz),Ch Asad ur Rahman
NA-108,Jhang-1,Punjab,1007633,Pakistan Tehreek-e-Insaf,Latif Khan Khosa
NA-108,Jhang-1,Punjab,1007633,Pakistan Peoples Party,Muhammad Haider Shah
NA-108,Jhang-1,Punjab,1007633,Tehreek-e-Labbaik,Muhammad Ramzan
NA-108,Jhang-1,Punjab,1007633,Pakistan Muslim League (Nawaz),Makhdoom Faisal Saleh Hayat
NA-109,Jhang-2,Punjab,1041240,Pakistan Tehreek-e-Insaf,Afzaal Azeem Pahat Advocate
NA-109,Jhang-2,Punjab,1041240,Pakistan Peoples Party,Muhammad Hyder Ali Bokhari
NA-109,Jhang-2,Punjab,1041240,Tehreek-e-Labbaik,Nasir Ali
NA-109,Jhang-2,Punjab,1041240,Pakistan Muslim League (Nawaz),Muhammad Yaqub Sheikh
NA-110,Jhang-3,Punjab,1028847,Pakistan Tehreek-e-Insaf,Zameer Jedhu Advocate
NA-110,Jhang-3,Punjab,1028847,Pakistan Peoples Party,Umar Aftab
NA-110,Jhang-3,Punjab,1028847,Tehreek-e-Labbaik,Muhammad Amad Khan Wajid
NA-110,Jhang-3,Punjab,1028847,Pakistan Muslim League (Nawaz),Muhammad Asif Muawia
NA-111,nankana Sahib-1,Punjab,819869,Pakistan Tehreek-e-Insaf,Rana Javed Umar
NA-111,nankana Sahib-1,Punjab,819869,Pakistan Peoples Party,Muhammad Waqas
NA-111,nankana Sahib-1,Punjab,819869,Tehreek-e-Labbaik,Muhammad Rizwan
NA-111,nankana Sahib-1,Punjab,819869,Pakistan Muslim League (Nawaz),Muhammad Barjees Tahir
NA-112,nankana Sahib-2,Punjab,815002,Pakistan Tehreek-e-Insaf,Malik Touqeer Khokhar
NA-112,nankana Sahib-2,Punjab,815002,Pakistan Peoples Party,Shahjahan Ahmad Bhatti
NA-112,nankana Sahib-2,Punjab,815002,Muttahida Qaumi Movement,Agha Muhammad Ali Khan
NA-112,nankana Sahib-2,Punjab,815002,Tehreek-e-Labbaik,Abrar Ahmed
NA-112,nankana Sahib-2,Punjab,815002,Pakistan Muslim League (Nawaz),Shezra Mansab Ali Khan Kharal
NA-113,Sheikhupura-1,Punjab,1066976,Pakistan Tehreek-e-Insaf,Zaheer Abbas Khokar
NA-113,Sheikhupura-1,Punjab,1066976,Pakistan Peoples Party,Sabir Hussain
NA-113,Sheikhupura-1,Punjab,1066976,Tehreek-e-Labbaik,Muhammad Nouman Khalid
NA-113,Sheikhupura-1,Punjab,1066976,Pakistan Muslim League (Nawaz),Ahmad Atteeq Anwer
NA-113,Sheikhupura-1,Punjab,1066976,Pakistan Awami Tehreek,Muhammad Asif Sulehria
NA-114,Sheikhupura-2,Punjab,991233,Pakistan Tehreek-e-Insaf,Salman Akram Raja Advocate
NA-114,Sheikhupura-2,Punjab,991233,Pakistan Peoples Party,Sardar Ali
NA-114,Sheikhupura-2,Punjab,991233,Tehreek-e-Labbaik,Asif Mehmood
NA-114,Sheikhupura-2,Punjab,991233,Pakistan Muslim League (Nawaz),Rana  Tanveer Hussain
NA-114,Sheikhupura-2,Punjab,991233,Pakistan Awami Tehreek,Muhammad khalil
NA-115,Sheikhupura-3,Punjab,1010658,Pakistan Tehreek-e-Insaf,Mian Muhammad Azhar
NA-115,Sheikhupura-3,Punjab,1010658,Pakistan Peoples Party,Altaf Hussain Virk
NA-115,Sheikhupura-3,Punjab,1010658,Tehreek-e-Labbaik,Nadeem Zafar
NA-115,Sheikhupura-3,Punjab,1010658,Pakistan Muslim League (Nawaz),Javed Latif
NA-115,Sheikhupura-3,Punjab,1010658,Pakistan Awami Tehreek,Shafique Ahmad
NA-116,Sheikhupura-4,Punjab,980551,Pakistan Tehreek-e-Insaf,Dr. Yasmeen Rashid
NA-116,Sheikhupura-4,Punjab,980551,Pakistan Peoples Party,Ria Ijaz Ahmad khan
NA-116,Sheikhupura-4,Punjab,980551,Tehreek-e-Labbaik,Syed Zaheer ul Hassan Bukhari
NA-116,Sheikhupura-4,Punjab,980551,Pakistan Muslim League (Nawaz),Sardar Muhammad Irfan Dogar
NA-117,Lahore-1,Punjab,902499,Pakistan Tehreek-e-Insaf,Maqsood Sabir Ansari
NA-117,Lahore-1,Punjab,902499,Pakistan Peoples Party,Syed Asif Akhtar Hashmi
NA-117,Lahore-1,Punjab,902499,Tehreek-e-Labbaik,Saif ur Rehman
NA-117,Lahore-1,Punjab,902499,Istehkam-e-Pakistan,Abdul Aleem Khan 
NA-118,Lahore-2,Punjab,965233,Pakistan Tehreek-e-Insaf,Sardar M Hussain Dogar
NA-118,Lahore-2,Punjab,965233,Pakistan Peoples Party,Shahid Abbas
NA-118,Lahore-2,Punjab,965233,Tehreek-e-Labbaik,Abid Hussain
NA-118,Lahore-2,Punjab,965233,Pakistan Muslim League (Nawaz),Muhammad Hamza Shehbaz Sharif
NA-119,Lahore-3,Punjab,916577,Pakistan Tehreek-e-Insaf,Dr. Azeem Zahid Lakhvi
NA-119,Lahore-3,Punjab,916577,Pakistan Peoples Party,Iftikhar Shahid
NA-119,Lahore-3,Punjab,916577,Muttahida Qaumi Movement,Kiran Muhammad Ali
NA-119,Lahore-3,Punjab,916577,Tehreek-e-Labbaik,Muhammad Zaheer
NA-119,Lahore-3,Punjab,916577,Pakistan Muslim League (Nawaz),Maryam Nawaz Sharif
NA-120,Lahore-4,Punjab,937239,Pakistan Tehreek-e-Insaf,Sidra Faisal
NA-120,Lahore-4,Punjab,937239,Pakistan Peoples Party,Munir Ahmad
NA-120,Lahore-4,Punjab,937239,Tehreek-e-Labbaik,Rashid Ali
NA-120,Lahore-4,Punjab,937239,Pakistan Muslim League (Nawaz),Sardar Ayaz Sadiq
NA-121,Lahore-5,Punjab,902684,Pakistan Tehreek-e-Insaf,Wasim Qadir
NA-121,Lahore-5,Punjab,902684,Pakistan Peoples Party,Iftikhar Shahid
NA-121,Lahore-5,Punjab,902684,Muttahida Qaumi Movement,Imran Ashraf
NA-121,Lahore-5,Punjab,902684,Tehreek-e-Labbaik,Muhammad Yousaf
NA-121,Lahore-5,Punjab,902684,Pakistan Muslim League (Nawaz),Sheikh Rohale Asghar
NA-121,Lahore-5,Punjab,902684,Jamaat-e-Islami Pakistan ,Amir Siddiqui
NA-122,Lahore-6,Punjab,953104,Pakistan Tehreek-e-Insaf,Latif Khan Khosa
NA-122,Lahore-6,Punjab,953104,Tehreek-e-Labbaik,Muhammad Imtiaz
NA-122,Lahore-6,Punjab,953104,Pakistan Muslim League (Nawaz),khuwaja Saad Rafique
NA-123,Lahore-7,Punjab,911608,Pakistan Tehreek-e-Insaf,Afzaal Azeem Pahat Advocate
NA-123,Lahore-7,Punjab,911608,Pakistan Peoples Party,Muhammad Zia Ul Haq
NA-123,Lahore-7,Punjab,911608,Tehreek-e-Labbaik,Amjad Naeem
NA-123,Lahore-7,Punjab,911608,Pakistan Muslim League (Nawaz),Mian Muhammad Shehbaz Sharif
NA-123,Lahore-7,Punjab,911608,Pakistan Awami Thereek,Latif Ahmad Hussain
NA-124,Lahore-8,Punjab,901447,Pakistan Tehreek-e-Insaf,Zameer Jedhu Advocate
NA-124,Lahore-8,Punjab,901447,Tehreek-e-Labbaik,Irfan Ali Bhatti
NA-124,Lahore-8,Punjab,901447,Pakistan Muslim League (Nawaz),Rana Mubashir Iqbal
NA-124,Lahore-8,Punjab,901447,Pakistan Awami Thereek,Mujahid Mahmood
NA-125,Lahore-9,Punjab,899803,Pakistan Tehreek-e-Insaf,Rana Javed Umar
NA-125,Lahore-9,Punjab,899803,Pakistan Peoples Party,Chaudhry Abdul Ghafoor Khan
NA-125,Lahore-9,Punjab,899803,Balochistan National Party,Jahanzeb Khan
NA-125,Lahore-9,Punjab,899803,Tehreek-e-Labbaik,Khuram Shehzad
NA-125,Lahore-9,Punjab,899803,Pakistan Muslim League (Nawaz),Muhammad Afzal
NA-125,Lahore-9,Punjab,899803,Pakistan Awami Thereek,Ahmad ikhwan
NA-126,Lahore-10,Punjab,938880,Pakistan Tehreek-e-Insaf,Malik Touqeer Khokhar
NA-126,Lahore-10,Punjab,938880,Pakistan Peoples Party,Amjad Ali
NA-126,Lahore-10,Punjab,938880,Tehreek-e-Labbaik,Muhammad Ahmed Majeed
NA-126,Lahore-10,Punjab,938880,Pakistan Muslim League (Nawaz),Malik Saif ul Malook Khokhar
NA-127,Lahore-11,Punjab,972875,Pakistan Tehreek-e-Insaf,Zaheer Abbas Khokar
NA-127,Lahore-11,Punjab,972875,Pakistan Peoples Party,Bilawal Bhutto Zardari
NA-127,Lahore-11,Punjab,972875,Tehreek-e-Labbaik,Matloob Ahmed
NA-127,Lahore-11,Punjab,972875,Pakistan Muslim League (Nawaz),Attaullah Tarar
NA-128,Lahore-12,Punjab,970499,Pakistan Tehreek-e-Insaf,Salman Akram Raja Advocate
NA-128,Lahore-12,Punjab,970499,Pakistan Peoples Party,Taimoor Tahir
NA-128,Lahore-12,Punjab,970499,Muttahida Qaumi Movement,Agha Muhammad Ali Khan
NA-128,Lahore-12,Punjab,970499,Tehreek-e-Labbaik,Asim Irshad Khan
NA-128,Lahore-12,Punjab,970499,Istehkam-e-Pakistan Party,Awn Chaudhry
NA-129,Lahore-13,Punjab,907779,Pakistan Tehreek-e-Insaf,Mian Muhammad Azhar
NA-129,Lahore-13,Punjab,907779,Pakistan Peoples Party,Aurangzeb Shaafi Burki
NA-129,Lahore-13,Punjab,907779,Tehreek-e-Labbaik,Bilal Liaquat
NA-129,Lahore-13,Punjab,907779,Pakistan Muslim League (Nawaz),Muhammad Numan
NA-130,Lahore-14,Punjab,923908,Pakistan Tehreek-e-Insaf,Dr. Yasmeen Rashid
NA-130,Lahore-14,Punjab,923908,Pakistan Peoples Party,Iqbal Ahmad Khan
NA-130,Lahore-14,Punjab,923908,Tehreek-e-Labbaik,Muhammad Khuram Riaz
NA-130,Lahore-14,Punjab,923908,Pakistan Muslim League (Nawaz),Muhammad Nawaz Sharif
NA-131,Kasur-1,Punjab,1040674,Pakistan Tehreek-e-Insaf,barrister Taimur Malik
NA-131,Kasur-1,Punjab,1040674,Pakistan Peoples Party,Chaudhry Manzoor Ahmad
NA-131,Kasur-1,Punjab,1040674,Tehreek-e-Labbaik,Hafiz Muneeb Ahmad
NA-131,Kasur-1,Punjab,1040674,Pakistan Muslim League (Nawaz),Saad Waseem
NA-132,Kasur-2,Punjab,987859,Pakistan Tehreek-e-Insaf,Sardar M Hussain Dogar
NA-132,Kasur-2,Punjab,987859,Pakistan Peoples Party,Shahoom Safdar
NA-132,Kasur-2,Punjab,987859,Tehreek-e-Labbaik,Faqeer Hussain
NA-132,Kasur-2,Punjab,987859,Pakistan Muslim League (Nawaz),Mian Muhammad Shehbaz Sharif
NA-133,Kasur-3,Punjab,1022019,Pakistan Tehreek-e-Insaf,Dr. Azeem Zahid Lakhvi
NA-133,Kasur-3,Punjab,1022019,Pakistan Peoples Party,Muhammad Irshad Khan
NA-133,Kasur-3,Punjab,1022019,Tehreek-e-Labbaik,Ghulam Murtaza
NA-133,Kasur-3,Punjab,1022019,Pakistan Muslim League (Nawaz),Rana Muhammad Ishaq Khan
NA-133,Kasur-3,Punjab,1022019,Istehkam-e-Pakistan Party,Hashim Dogra
NA-134,Kasur-4,Punjab,1033734,Pakistan Tehreek-e-Insaf,Sidra Faisal
NA-134,Kasur-4,Punjab,1033734,Pakistan Peoples Party,Syed Raza Abbas
NA-134,Kasur-4,Punjab,1033734,Tehreek-e-Labbaik,Manzoor Ilahi
NA-134,Kasur-4,Punjab,1033734,Pakistan Muslim League (Nawaz),Rana Muhammad Hayat Khan
NA-135,Okara-1,Punjab,849059,Pakistan Tehreek-e-Insaf,Malik Akram Bhatti
NA-135,Okara-1,Punjab,849059,Pakistan Peoples Party,Rai Ghulam Mujtaba Kharal
NA-135,Okara-1,Punjab,849059,Tehreek-e-Labbaik,Farzand Nasim
NA-135,Okara-1,Punjab,849059,Pakistan Muslim League (Nawaz),Nadeem Abbas
NA-136,Okara-2,Punjab,900262,Pakistan Tehreek-e-Insaf,Rao Hassan Sikandar
NA-136,Okara-2,Punjab,900262,Pakistan Peoples Party,Sajjad Ul Hassan
NA-136,Okara-2,Punjab,900262,Tehreek-e-Labbaik,Munawar Javaid
NA-136,Okara-2,Punjab,900262,Pakistan Muslim League (Nawaz),Riaz Ul Haq 
NA-137,Okara-3,Punjab,879120,Pakistan Tehreek-e-Insaf,Syed Raza Ali Gilani
NA-137,Okara-3,Punjab,879120,Pakistan Peoples Party,Muhammad Yasin
NA-137,Okara-3,Punjab,879120,Tehreek-e-Labbaik,Muhammad Anwar
NA-137,Okara-3,Punjab,879120,Pakistan Muslim League (Nawaz),Rao Muhammad Ajmal Khan
NA-137,Okara-3,Punjab,879120,Pakistan Awami Thereek,Muhammad Rafi
NA-138,Okara-4,Punjab,868895,Pakistan Tehreek-e-Insaf,Mian Arshad Ali Khan Mayo
NA-138,Okara-4,Punjab,868895,Pakistan Peoples Party,Ahmed Hassan
NA-138,Okara-4,Punjab,868895,Tehreek-e-Labbaik,Muhammad Mushtaq Rehmani
NA-138,Okara-4,Punjab,868895,Pakistan Muslim League (Nawaz),Muhammad Mueen Watto
NA-139,Pakpattan-1,Punjab,1075327,Pakistan Tehreek-e-Insaf,Rao Umar Hashim
NA-139,Pakpattan-1,Punjab,1075327,Pakistan Peoples Party,Mian Humayun Sarwar Bodla
NA-139,Pakpattan-1,Punjab,1075327,Tehreek-e-Labbaik,Ghulam Mohyu Din
NA-139,Pakpattan-1,Punjab,1075327,Pakistan Muslim League (Nawaz),Ahmad Raza Maneka
NA-139,Pakpattan-1,Punjab,1075327,Jamaat-e-Islami Pakistan ,Shaukat Ali Bhatti
NA-140,Pakpattan-2,Punjab,1060843,Pakistan Tehreek-e-Insaf,Raja Talia Saeed
NA-140,Pakpattan-2,Punjab,1060843,Pakistan Peoples Party,Shaukat Ali Bajwa
NA-140,Pakpattan-2,Punjab,1060843,Tehreek-e-Labbaik,Waseem Zafar
NA-140,Pakpattan-2,Punjab,1060843,Pakistan Muslim League (Nawaz),Rana Iradat Sharif Khan
NA-141,Sahiwal-1,Punjab,1005822,Pakistan Tehreek-e-Insaf,Rana Aamir Shahzad
NA-141,Sahiwal-1,Punjab,1005822,Pakistan Peoples Party,Muhammad Zaki
NA-141,Sahiwal-1,Punjab,1005822,Tehreek-e-Labbaik,Abdul Qadir
NA-141,Sahiwal-1,Punjab,1005822,Pakistan Muslim League (Nawaz),Syed Imran Ahmad Shah
NA-141,Sahiwal-1,Punjab,1005822,Jamaat-e-Islami Pakistan ,Muhammad Rehmat Ullah
NA-142,Sahiwal-2,Punjab,966654,Pakistan Tehreek-e-Insaf,Muhammad Usman
NA-142,Sahiwal-2,Punjab,966654,Pakistan Peoples Party,Ghulam Farid Kathia
NA-142,Sahiwal-2,Punjab,966654,Tehreek-e-Labbaik,Rai Munsif Shabbir Ahmad
NA-142,Sahiwal-2,Punjab,966654,Pakistan Muslim League (Nawaz),Ch Muhammad Ashraf
NA-143,Sahiwal-3,Punjab,927489,Pakistan Tehreek-e-Insaf,Rai Hassan Nawaz Khan
NA-143,Sahiwal-3,Punjab,927489,Pakistan Peoples Party,Ali Javed
NA-143,Sahiwal-3,Punjab,927489,Tehreek-e-Labbaik,Majid Hussain
NA-143,Sahiwal-3,Punjab,927489,Pakistan Awami Thereek,Salwat Shahzad Aziz
NA-143,Sahiwal-3,Punjab,927489,Istehkam-e-Pakistan Party,Malik Nauman Langriyal
NA-144,Khanewal-1,Punjab,860091,Pakistan Tehreek-e-Insaf,Shahbaz Ahmad Khan
NA-144,Khanewal-1,Punjab,860091,Pakistan Peoples Party,Muhammad Zaman
NA-144,Khanewal-1,Punjab,860091,Tehreek-e-Labbaik,Muhammad Mushtaq 
NA-144,Khanewal-1,Punjab,860091,Pakistan Muslim League (Nawaz),Syed Muhammad Mukhtar Hussain
NA-145,Khanewal-2,Punjab,815060,Pakistan Tehreek-e-Insaf,Abid Mehmood Khagga
NA-145,Khanewal-2,Punjab,815060,Pakistan Peoples Party,Rana Abdul Rehman Khan
NA-145,Khanewal-2,Punjab,815060,Tehreek-e-Labbaik,Muhammad Wakeel
NA-145,Khanewal-2,Punjab,815060,Pakistan Muslim League (Nawaz),Muhammad Khan Daha
NA-146,Khanewal-3,Punjab,872581,Pakistan Tehreek-e-Insaf,Imran Shah Khagga
NA-146,Khanewal-3,Punjab,872581,Pakistan Peoples Party,Shahid Bashir
NA-146,Khanewal-3,Punjab,872581,Tehreek-e-Labbaik,Hafiz Muhammad Imran Siddiq
NA-146,Khanewal-3,Punjab,872581,Pakistan Muslim League (Nawaz),Pir Muhammad Aslam Bodla Siddiqui
NA-146,Khanewal-3,Punjab,872581,Pakistan Awami Thereek,Mian Noor Ahmad
NA-147,Khanewal-4,Punjab,816345,Pakistan Tehreek-e-Insaf,Mian Naveed Jahania
NA-147,Khanewal-4,Punjab,816345,Tehreek-e-Labbaik,Gulam Abbas
NA-147,Khanewal-4,Punjab,816345,Pakistan Muslim League (Nawaz),Choudhary Iftikhar Nazir
NA-147,Khanewal-4,Punjab,816345,Istehkam-e-Pakistan Party,Mohammad Ayaz Khan Niazi 
NA-148,Mulatn-1,Punjab,910134,Pakistan Tehreek-e-Insaf,Barrister Taimur Malik
NA-148,Mulatn-1,Punjab,910134,Pakistan Peoples Party,Syed Yousaf Raza Gilani
NA-148,Mulatn-1,Punjab,910134,Tehreek-e-Labbaik,Malik Azhar Ahmed Sandila
NA-148,Mulatn-1,Punjab,910134,Pakistan Muslim League (Nawaz),Ahmad Hussain
NA-148,Mulatn-1,Punjab,910134,Pakistan Muslim League (Qaid-e-Azam),Aneela Iftikhar
NA-149,Mulatn-2,Punjab,907757,Pakistan Tehreek-e-Insaf,Malik Amir Dogar
NA-149,Mulatn-2,Punjab,907757,Pakistan Peoples Party,Rizwan Ahmed Makki Haans
NA-149,Mulatn-2,Punjab,907757,Muttahida Qaumi Movement,Muhammad Rashid Saleem Khanzada
NA-149,Mulatn-2,Punjab,907757,Tehreek-e-Labbaik,Zahid Hameed Gujjar
NA-149,Mulatn-2,Punjab,907757,Istehkam-e-Pakistan Party,Jahangir Khan Tareen
NA-150,Mulatn-3,Punjab,899916,Pakistan Tehreek-e-Insaf,Zain Qureshi
NA-150,Mulatn-3,Punjab,899916,Pakistan Peoples Party,Rana Mahmood ul Hassan
NA-150,Mulatn-3,Punjab,899916,Tehreek-e-Labbaik,Muhammad Hussain Babar
NA-150,Mulatn-3,Punjab,899916,Pakistan Muslim League (Nawaz),Javed Akhtar
NA-150,Mulatn-3,Punjab,899916,Awami National Party,Sheheryar Khan
NA-151,Mulatn-4,Punjab,879112,Pakistan Tehreek-e-Insaf,Mehar Bano Qureshi
NA-151,Mulatn-4,Punjab,879112,Pakistan Peoples Party,Syed Ali Musa Gilani
NA-151,Mulatn-4,Punjab,879112,Tehreek-e-Labbaik,Irshad Ali Babar
